duid,profit_lmp,profit_lmp_mc,profit_rrp,type,station,fuel_type,schedule_type,region
AGLHAL,283476.883192,126620.953810113,282293.884433,Gen,Hallett,Gas,Scheduled,SA
AGLSOM,186706.825261,140136.64745447,185916.339906,Gen,Somerton,Gas,Scheduled,VIC
ANGAST1,290421.631138,88321.5790367825,282293.884433,Gen,Angaston,Liquid Fuel,Scheduled,SA
ARWF1,215667.232405,202453.294717353,185916.339906,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,187184.068167,177026.138007,185916.339906,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALBL1,187620.526526,176652.209606,185916.339906,Load,Ballarat Battery Energy Storage System,Battery (Charge),Scheduled,VIC
BALDHWF1,186848.906777,178145.380757676,185916.339906,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BANN1,299799.284574,202844.448224,185916.339906,Gen,Bannerton Solar Park,Solar,Semi-scheduled,VIC
BARCALDN,133879.7845,40634.2887739175,105246.192707,Gen,Barcaldine,Gas,Scheduled,QLD
BARKIPS1,282293.884433,148117.217844744,282293.884433,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
BARRON-1,129084.414723,63544.7660109822,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD
BARRON-2,128062.939713,63530.5463752789,105246.192707,Gen,Barron Gorge,Hydro,Scheduled,QLD
BASTYAN,269609.850252,250521.18955285,264590.034752,Gen,Bastyan,Hydro,Scheduled,TAS
BBTHREE1,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE2,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE3,264588.76586,220749.023401522,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BDL01,187283.938836,151078.842735979,185916.339906,Gen,Bairnsdale,Gas,Scheduled,VIC
BDL02,187283.938836,151078.842735979,185916.339906,Gen,Bairnsdale,Gas,Scheduled,VIC
BERYLSF1,88685.333594,88470.670374,88703.045594,Gen,Beryl Solar Farm,Solar,Semi-scheduled,NSW
BLOWERNG,115553.088361,113888.619766614,88703.045594,Gen,Blowering,Hydro,Scheduled,NSW
BLUFF1,335785.160864,181964.150822504,282293.884433,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BNGSF1,301589.475605,183121.835795,282293.884433,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA
BNGSF2,298916.312154,183148.673814,282293.884433,Gen,Bungala Two Solar Farm,Solar,Semi-scheduled,SA
BOCORWF1,99565.457982,99191.2667134267,88703.045594,Gen,Boco Rock Wind Farm,Wind,Semi-scheduled,NSW
BODWF1,90469.706318,88065.2956545757,88703.045594,Gen,Bodangora Wind Farm,Wind,Semi-scheduled,NSW
BRAEMAR1,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR2,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR3,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 1,Gas,Scheduled,QLD
BRAEMAR5,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR6,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD
BRAEMAR7,91895.393789,40070.4398113477,105246.192707,Gen,Braemar 2,Gas,Scheduled,QLD
BROKENH1,309651.687895,220657.091335,88703.045594,Gen,Broken Hill Solar Plant,Solar,Semi-scheduled,NSW
BW01,88577.378696,85961.5245134233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
BW02,88577.378696,85961.5245134233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
BW03,88518.173968,85974.2397854233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
BW04,88518.173968,85974.2397854233,88703.045594,Gen,Bayswater,Black Coal,Scheduled,NSW
CALL_A_2,105246.192707,76548.7099897122,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_1,124426.428897,59225.0139479219,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CALL_B_2,124426.428897,59225.0139479219,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CETHANA,254516.411882,239707.350877188,264590.034752,Gen,Cethana,Hydro,Scheduled,TAS
CG1,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG2,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG3,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CG4,90746.890019,60570.3405602824,88703.045594,Gen,Colongra,Gas,Scheduled,NSW
CHILDSF1,102627.32782,68870.76093,105246.192707,Gen,Childers Solar Farm,Solar,Semi-scheduled,QLD
CLARESF1,124247.785021,64930.594741,105246.192707,Gen,Clare Solar Farm,Solar,Semi-scheduled,QLD
CLEMGPWF,328728.94498,182248.076935504,282293.884433,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
CLERMSF1,120026.410076,69851.576806,105246.192707,Gen,Clermont Solar Farm,Solar,Semi-scheduled,QLD
COLEASF1,241582.742826,162893.662126,88703.045594,Gen,Coleambally Solar Farm,Solar,Semi-scheduled,NSW
COOPGWF1,91872.431929,70966.8464060066,105246.192707,Gen,Coopers Gap Wind Farm,Wind,Semi-scheduled,QLD
CPP_3,124426.428897,59302.4869491706,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CPP_4,124426.428897,59302.4869491706,105246.192707,Gen,Callide,Black Coal,Scheduled,QLD
CPSA,91891.747789,54048.6787025481,105246.192707,Gen,Condamine,Gas,Scheduled,QLD
CROOKWF2,99534.591982,99149.0607134268,88703.045594,Gen,Crookwell 2 Wind Farm,Wind,Semi-scheduled,NSW
CROWLWF1,221649.999049,202249.661421353,185916.339906,Gen,Crowlands Wind Farm,Wind,Semi-scheduled,VIC
CSPVPS1,184283.504199,65518.869159,105246.192707,Gen,Collinsville Solar PV,Solar,Semi-scheduled,QLD
DALNTH01,319420.298305,186299.855465,282293.884433,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA
DALNTHL1,318465.298305,186299.855465,282293.884433,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
DARTM1,131320.992723,115931.517474159,185916.339906,Gen,Dartmouth,Hydro,Scheduled,VIC
DAYDSF1,126377.569473,64825.458433,105246.192707,Gen,Daydream Solar Farm,Solar,Semi-scheduled,QLD
DDPS1,91898.468118,53109.7379445916,105246.192707,Gen,Darling Downs,Gas,Scheduled,QLD
DDSF1,91898.468118,71357.709338,105246.192707,Gen,Darling Downs Solar Farm,Solar,Semi-scheduled,QLD
DEVILS_G,305811.516548,291002.455543188,264590.034752,Gen,Devils Gate,Hydro,Scheduled,TAS
DRYCGT1,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT2,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT3,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA
EILDON1,161539.720721,147705.341549274,185916.339906,Gen,Eildon,Hydro,Scheduled,VIC
EILDON2,161539.720721,147705.341549274,185916.339906,Gen,Eildon,Hydro,Scheduled,VIC
EMERASF1,131439.430186,64843.474896,105246.192707,Gen,Emerald Solar Park,Solar,Semi-scheduled,QLD
ER01,89432.655225,79330.469153859,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
ER02,89432.655225,79330.469153859,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
ER03,88846.221555,79326.9703144043,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
ER04,88846.221555,79326.9703144043,88703.045594,Gen,Eraring,Black Coal,Scheduled,NSW
FINLYSF1,116342.796338,89153.146158,88703.045594,Gen,Finely Solar Farm,Solar,Semi-scheduled,NSW
FISHER,254516.411882,239707.350877188,264590.034752,Gen,Fisher,Hydro,Scheduled,TAS
GANNBG1,211513.011459,198897.145089,185916.339906,Gen,Gannawarra Energy Storage System,Battery (Discharge),Scheduled,VIC
GANNBL1,210747.688471,199499.904551,185916.339906,Load,Gannawarra Energy Storage System,Battery (Charge),Scheduled,VIC
GANNSF1,243055.441306,201327.698446,185916.339906,Gen,Gannawarra Solar Farm,Solar,Semi-scheduled,VIC
GORDON,296466.196679,278709.044376648,264590.034752,Gen,Gordon,Hydro,Scheduled,TAS
GSTONE1,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE2,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE3,144977.974321,55067.9108967336,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE4,144977.974321,55067.9108967336,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE5,130514.200388,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GSTONE6,131538.749998,56895.1563140549,105246.192707,Gen,Gladstone,Black Coal,Scheduled,QLD
GULLRSF1,99534.798982,99313.581782,88703.045594,Gen,Gullen Solar Farm,Solar,Semi-scheduled,NSW
GULLRWF1,99555.442982,99167.2264789911,88703.045594,Gen,Gullen Range Wind Farm,Wind,Semi-scheduled,NSW
GUNNING1,98804.736446,97235.8974874268,88703.045594,Gen,Gunning Wind Farm,Wind,Semi-scheduled,NSW
GUTHEGA,117263.783484,95115.7169573575,88703.045594,Gen,Guthega,Hydro,Scheduled,NSW
HALLWF1,325368.912397,170820.926033217,282293.884433,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,336316.04692,181222.065000213,282293.884433,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HAMISF1,126519.909913,64793.757543,105246.192707,Gen,Hamilton Solar Farm,Solar,Semi-scheduled,QLD
HAUGHT11,133545.82012,65119.09849,105246.192707,Gen,Haughton Solar Farm Stage 1 Units 1-81,Solar,Semi-scheduled,QLD
HAYMSF1,126389.459473,64825.458433,105246.192707,Gen,Hayman Solar Farm,Solar,Semi-scheduled,QLD
HDWF1,323874.816955,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,322874.817005,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF3,322874.817005,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HPRG1,273715.210534,159159.375114,282293.884433,Gen,Hornsdale Power Reserve,Battery (Discharge),Scheduled,SA
HPRL1,286844.406724,173432.570024,282293.884433,Load,Hornsdale Power Reserve,Battery (Charge),Scheduled,SA
HUMENSW,218609.516374,214108.834250974,88703.045594,Gen,Hume Hydro,Hydro,Scheduled,NSW
HUMEV,255835.251431,245289.116070734,185916.339906,Gen,Hume,Hydro,Scheduled,VIC
HVGTS,88603.929645,53638.8119654591,88703.045594,Gen,Hunter Valley GT,Gas,Scheduled,NSW
JBUTTERS,271736.009714,250713.880303443,264590.034752,Gen,John Butters,Hydro,Scheduled,TAS
JLA01,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA02,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA03,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang A,Gas,Scheduled,VIC
JLB01,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB03,187283.938836,135790.824103845,185916.339906,Gen,Jeeralang B,Gas,Scheduled,VIC
KAREEYA1,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA2,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA3,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KAREEYA4,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD
KARSF1,226490.643213,191687.569173,185916.339906,Gen,Karadoc Solar Farm,Solar,Semi-scheduled,VIC
KIATAWF1,215665.437738,200747.093143957,185916.339906,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
KPP_1,90416.216058,66019.2877407795,105246.192707,Gen,Kogan Creek,Black Coal,Scheduled,QLD
KSP1,124132.823101,64859.720071,105246.192707,Gen,Kidston Solar Stage 1,Solar,Semi-scheduled,QLD
LADBROK1,313521.153397,153122.082776239,282293.884433,Gen,Ladbroke Grove,Gas,Scheduled,SA
LADBROK2,309539.321829,149140.247228239,282293.884433,Gen,Ladbroke Grove,Gas,Scheduled,SA
LAVNORTH,185916.339906,147137.442793448,185916.339906,Gen,Laverton,Gas,Scheduled,VIC
LBBG1,276468.794728,175069.650018,282293.884433,Gen,Lake Bonney BESS1,Battery (Discharge),Scheduled,SA
LBBL1,274085.161728,172686.017018,282293.884433,Load,Lake Bonney BESS1,Battery (Charge),Scheduled,SA
LD01,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LD02,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LD03,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LD04,88603.929645,85773.8338067119,88703.045594,Gen,Liddell,Black Coal,Scheduled,NSW
LEM_WIL,254516.411882,239707.350877188,264590.034752,Gen,Lemonthyme,Hydro,Scheduled,TAS
LGAPWF1,326027.110334,181907.370168375,282293.884433,Gen,Lincoln Gap Wind Farm,Wind,Semi-scheduled,SA
LI_WY_CA,303266.132085,283659.6904898,264590.034752,Gen,Liapootah Wayatinah Catagunya Aggregate,Hydro,Scheduled,TAS
LILYSF1,134228.243418,64872.343158,105246.192707,Gen,Lilyvale Solar Farm,Solar,Semi-scheduled,QLD
LIMOSF21,88742.083184,88516.400074,88703.045594,Gen,Limondale Solar Farm 2,Solar,Semi-scheduled,NSW
LK_ECHO,289380.71061,265711.214971892,264590.034752,Gen,Lake Echo,Hydro,Scheduled,TAS
LKBONNY2,341457.288185,180631.486670474,282293.884433,Gen,Lake Bonney Stage 2,Wind,Semi-scheduled,SA
LKBONNY3,327840.129867,167862.443576909,282293.884433,Gen,Lake Bonney Stage 3,Wind,Semi-scheduled,SA
LNGS1,188021.855701,149566.513322711,185916.339906,Gen,Laverton,Gas,Scheduled,VIC
