duid,profit_lmp,profit_lmp_mc,profit_rrp,type,station,fuel_type,schedule_type,region
LNGS2,188021.855701,149566.513322711,185916.339906,Gen,Laverton,Gas,Scheduled,VIC
LONSDALE,282293.884433,85906.019229926,282293.884433,Gen,Lonsdale,Liquid Fuel,Scheduled,SA
LOYYB1,187283.938836,176556.237013308,185916.339906,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,187283.938836,176556.237013308,185916.339906,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,187283.938836,176581.769026116,185916.339906,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MACARTH1,193584.467538,177394.444786333,185916.339906,Gen,Macarthur Wind Farm,Wind,Semi-scheduled,VIC
MACKAYGT,128061.506323,-13571.5054218963,105246.192707,Gen,Mackay,Liquid Fuel,Scheduled,QLD
MACKNTSH,270152.120092,249849.29455285,264590.034752,Gen,Mackintosh,Hydro,Scheduled,TAS
MANSLR1,88410.597578,88195.934358,88703.045594,Gen,Manildra Solar Farm,Solar,Semi-scheduled,NSW
MCKAY1,147262.478095,132811.771736159,185916.339906,Gen,McKay,Hydro,Scheduled,VIC
MEADOWBK,287341.062499,265699.141539497,264590.034752,Gen,Meadowbank,Hydro,Scheduled,TAS
MERCER01,198433.869384,177067.709880606,185916.339906,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MEWF1,168728.925377,64661.0818174488,105246.192707,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD
MINTARO,294663.590991,149145.514317284,282293.884433,Gen,Mintaro,Gas,Scheduled,SA
MOREESF1,94973.61616,89426.71055,88703.045594,Gen,Moree Solar Farm,Solar,Semi-scheduled,NSW
MORTLK11,192217.21786,143144.011318158,185916.339906,Gen,Mortlake,Gas,Scheduled,VIC
MORTLK12,192217.21786,143144.011318158,185916.339906,Gen,Mortlake,Gas,Scheduled,VIC
MP1,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW
MP2,88419.23576,79970.3631309523,88703.045594,Gen,Mt Piper,Black Coal,Scheduled,NSW
MPP_1,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD
MPP_2,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD
MSTUART1,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART2,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MSTUART3,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD
MTGELWF1,187806.281717,178245.555198804,185916.339906,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MURRAY,119664.019179,105938.9464488,185916.339906,Gen,Murray,Hydro,Scheduled,VIC
MUSSELR1,306825.916509,228224.23310453,264590.034752,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
MUWAWF1,189363.8078,162739.007113316,185916.339906,Gen,Murra Warra Wind Farm,Wind,Semi-scheduled,VIC
NBHWF1,336852.329804,182028.629339032,282293.884433,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA
NEVERSF1,88703.045594,88488.382374,88703.045594,Gen,NEVERTIRE SOLAR FARM,Solar,Semi-scheduled,NSW
NPS,187499.319371,155811.46824472,185916.339906,Gen,Newport,Gas,Scheduled,VIC
NUMURSF1,176943.416586,169966.435936,185916.339906,Gen,Numurkah Solar Farm,Solar,Semi-scheduled,VIC
NYNGAN1,88409.031578,88194.368358,88703.045594,Gen,Nyngan Solar Plant,Solar,Semi-scheduled,NSW
OAKEY1,105255.562117,56163.2403244482,105246.192707,Gen,Oakey,Gas,Scheduled,QLD
OAKEY1SF,105246.192707,84811.566037,105246.192707,Gen,Oakey 1 Solar Farm,Solar,Semi-scheduled,QLD
OAKEY2,105255.562117,56163.2403244482,105246.192707,Gen,Oakey,Gas,Scheduled,QLD
OAKEY2SF,108887.974955,84960.818975,105246.192707,Gen,Oakey 2 Solar Farm,Solar,Semi-scheduled,QLD
OAKLAND1,196856.728993,152709.473505432,185916.339906,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
OSB-AG,290281.440724,165453.383719834,282293.884433,Gen,Osborne,Gas,Scheduled,SA
PARSF1,88414.28576,88199.62254,88703.045594,Gen,Parkes Solar Farm,Solar,Semi-scheduled,NSW
POAT110,251414.416358,237501.251446078,264590.034752,Gen,Poatina,Hydro,Scheduled,TAS
POAT220,253749.972491,240235.865911927,264590.034752,Gen,Poatina,Hydro,Scheduled,TAS
POR01,301371.387586,91893.7363943742,282293.884433,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
POR03,288483.387586,79143.2910097588,282293.884433,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
PPCCGT,285427.976573,163207.427649842,282293.884433,Gen,Pelican Point,Gas,Scheduled,SA
PTSTAN1,282293.884433,85906.019229926,282293.884433,Gen,Pt Stanvac,Liquid Fuel,Scheduled,SA
PUMP1,105246.192707,83876.9704295638,105246.192707,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
PUMP2,105246.192707,83876.9704295638,105246.192707,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD
QPS1,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS2,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS3,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS4,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
QPS5,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA
REECE1,275382.913132,250211.46431285,264590.034752,Gen,Reece,Hydro,Scheduled,TAS
REECE2,270007.204682,250748.910937146,264590.034752,Gen,Reece,Hydro,Scheduled,TAS
ROMA_7,91891.747789,40063.3928113477,105246.192707,Gen,Roma,Gas,Scheduled,QLD
ROMA_8,91891.747789,40063.3928113477,105246.192707,Gen,Roma,Gas,Scheduled,QLD
RRSF1,127289.713009,64822.454119,105246.192707,Gen,Ross River Solar Farm,Solar,Semi-scheduled,QLD
RUGBYR1,120721.05793,64816.71973,105246.192707,Gen,Rugby Run Solar Farm,Solar,Semi-scheduled,QLD
SALTCRK1,189810.923999,177292.467791933,185916.339906,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
SAPHWF1,84590.537854,76185.3889443455,88703.045594,Gen,Sapphire Wind Farm,Wind,Semi-scheduled,NSW
SHGEN,88502.560661,87764.548908021,88703.045594,Gen,Shoalhaven,Pumped Hydro (Release),Scheduled,NSW
SHPUMP,88502.560661,87764.548908021,88703.045594,Load,Shoalhaven,Pumped Hydro (Pumping),Scheduled,NSW
SITHE01,88703.045594,67451.6365737912,88703.045594,Gen,Smithfield Energy Facility,Gas,Scheduled,NSW
SMCSF1,136904.025652,65079.422952,105246.192707,Gen,Sun Metals Solar Farm,Solar,Semi-scheduled,QLD
SNOWNTH1,328119.76542,182151.943165504,282293.884433,Gen,Snowtown North Wind Farm,Wind,Semi-scheduled,SA
SNOWSTH1,328119.76542,182151.943165504,282293.884433,Gen,Snowtown South Wind Farm,Wind,Semi-scheduled,SA
SNOWTWN1,349330.280136,183444.486273346,282293.884433,Gen,Snowtown Wind Farm,Wind,Semi-scheduled,SA
SNOWYP,124866.933821,122972.513272318,88703.045594,Load,Tumut 3,Pumped Hydro (Pumping),Scheduled,NSW
SNUG1,297143.635037,73741.1190729896,282293.884433,Gen,Snuggery,Liquid Fuel,Scheduled,SA
SRSF1,112838.15629,68914.29048,105246.192707,Gen,Susan River Solar Farm,Solar,Semi-scheduled,QLD
STAN-1,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-2,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-3,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STAN-4,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD
STWF1,346914.81139,231998.311227979,88703.045594,Gen,Silverton Wind Farm,Wind,Semi-scheduled,NSW
SWAN_B_1,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_2,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_3,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_B_4,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD
SWAN_E,105246.192707,67105.450352463,105246.192707,Gen,Swanbank,Gas,Scheduled,QLD
TALWA1,88494.772551,72387.1023117422,88703.045594,Gen,Tallawarra,Gas,Scheduled,NSW
TARALGA1,100532.646412,99150.4647134268,88703.045594,Gen,Taralga Wind Farm,Wind,Semi-scheduled,NSW
TARONG#1,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#2,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#3,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARONG#4,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD
TARRALEA,289094.31693,265701.435599043,264590.034752,Gen,Tarraleah,Hydro,Scheduled,TAS
TBSF1,314244.937042,182796.529822,282293.884433,Gen,Tailem Bend Solar Project 1,Solar,Semi-scheduled,SA
TNPS1,91911.218118,66336.4367007735,105246.192707,Gen,Tarong North,Black Coal,Scheduled,QLD
TORRA1,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRA2,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRA3,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRA4,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB1,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB2,283312.682823,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB3,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TORRB4,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA
TREVALLN,252935.473942,240359.326410078,264590.034752,Gen,Trevallyn,Hydro,Scheduled,TAS
TRIBUTE,269308.715482,250160.01487285,264590.034752,Gen,Tribute,Hydro,Scheduled,TAS
TUMUT3,125026.462451,123012.961022318,88703.045594,Gen,Tumut 3,Pumped Hydro (Release),Scheduled,NSW
TUNGATIN,289094.31693,265701.435599043,264590.034752,Gen,Tungatinah,Hydro,Scheduled,TAS
TVCC201,290534.723602,236558.233699021,264590.034752,Gen,Tamar Valley,Gas,Scheduled,TAS
TVPP104,264588.76586,219496.119923657,264590.034752,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
UPPTUMUT,149810.913011,148087.362572318,88703.045594,Gen,Upper Tumut,Hydro,Scheduled,NSW
URANQ11,200396.035251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ12,199347.045251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ13,201454.035301,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
URANQ14,200396.035251,168976.213719736,88703.045594,Gen,Uranquinty,Gas,Scheduled,NSW
VP5,90047.342745,80770.2312247439,88703.045594,Gen,Vales Point B,Black Coal,Scheduled,NSW
VP6,90047.342745,80770.2312247439,88703.045594,Gen,Vales Point B,Black Coal,Scheduled,NSW
VPGS,185916.339906,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS1,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS2,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS3,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS4,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS5,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,187283.938836,137774.35399547,185916.339906,Gen,Valley Power,Gas,Scheduled,VIC
W/HOE#1,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
W/HOE#2,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD
WATERLWF,338606.867148,186770.173434633,282293.884433,Gen,Waterloo Wind Farm,Wind,Semi-scheduled,SA
WEMENSF1,249207.631589,203344.425449,185916.339906,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
WGWF1,335805.316824,181950.353972504,282293.884433,Gen,Willogoleche Wind Farm,Wind,Semi-scheduled,SA
WHITSF1,126257.349913,64793.757543,105246.192707,Gen,Whitsunday Solar Farm,Solar,Semi-scheduled,QLD
WKIEWA1,129671.638923,112916.528624159,185916.339906,Gen,West Kiewa,Hydro,Scheduled,VIC
WKIEWA2,129671.638923,112916.528624159,185916.339906,Gen,West Kiewa,Hydro,Scheduled,VIC
WOODLWN1,100583.459872,99207.3397643905,88703.045594,Gen,Woodlawn Wind Farm,Wind,Semi-scheduled,NSW
WRSF1,90179.088225,89493.754795,88703.045594,Gen,White Rock Solar Farm,Solar,Semi-scheduled,NSW
WRWF1,90179.088225,89279.8023124541,88703.045594,Gen,White Rock Wind Farm,Wind,Semi-scheduled,NSW
YABULU,128063.731173,45253.7851767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD
YABULU2,128063.789173,45253.7131767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD
YARWUN_1,105246.192707,58565.7364639382,105246.192707,Gen,Yarwun,Gas,Scheduled,QLD
YENDWF1,173043.917478,163979.286421732,185916.339906,Gen,Yendon Wind Farm,Wind,Semi-scheduled,VIC
YWPS1,187153.707956,176525.642994166,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS2,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS3,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS4,185817.80489,176647.97811892,185916.339906,Gen,Yallourn W,Brown Coal,Scheduled,VIC
