duid,alpha_mc,beta_mc,type,station,fuel_type,schedule_type,region
ANGAST1,454.101492799228,0.928715882920855,Gen,Angaston,Liquid Fuel,Scheduled,SA
BARKIPS1,48.2370320035416,0.966165405378128,Gen,Barker Inlet Power Station,Gas,Scheduled,SA
BLUFF1,2.94626107714495,0.977406971891596,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA
BNGSF1,5.88510553592233,0.977205144762788,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA
BNGSF2,5.92575611058499,0.977227252396291,Gen,Bungala Two Solar Farm,Solar,Semi-scheduled,SA
CLEMGPWF,3.68009180048007,0.977366008543317,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA
DALNTH01,8.58759040423925,0.97690096002905,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA
DALNTHL1,8.6339399590862,0.976903482948177,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA
DRYCGT1,67.1533602735117,0.963825004985907,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT2,67.1533602735117,0.963825004985907,Gen,Dry Creek,Gas,Scheduled,SA
DRYCGT3,67.1533602735117,0.963825004985907,Gen,Dry Creek,Gas,Scheduled,SA
HALLWF1,3.72441855967135,0.964521289024724,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HALLWF2,2.3028282057499,0.9772254724966,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA
HDWF1,4.20163164748682,0.964511619986679,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF2,4.20221754704925,0.964511520567052,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HDWF3,4.20221754704925,0.964511520567052,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA
HPRG1,13.101731532132,0.901342142303894,Gen,Hornsdale Power Reserve,Battery (Discharge),Scheduled,SA
HPRL1,7.95738321241806,0.964170424800901,Load,Hornsdale Power Reserve,Battery (Charge),Scheduled,SA
LADBROK1,57.5341394352548,0.89098131890262,Gen,Ladbroke Grove,Gas,Scheduled,SA
LADBROK2,57.5504422702628,0.889505270875177,Gen,Ladbroke Grove,Gas,Scheduled,SA
LBBG1,16.3551957715203,0.877196562807093,Gen,Lake Bonney BESS1,Battery (Discharge),Scheduled,SA
LBBL1,18.4754411697545,0.852128228922885,Load,Lake Bonney BESS1,Battery (Charge),Scheduled,SA
LGAPWF1,3.43485732080367,0.977381200924893,Gen,Lincoln Gap Wind Farm,Wind,Semi-scheduled,SA
LKBONNY2,10.4859783581499,0.870348265356355,Gen,Lake Bonney Stage 2,Wind,Semi-scheduled,SA
LKBONNY3,10.3433121350847,0.870352548507101,Gen,Lake Bonney Stage 3,Wind,Semi-scheduled,SA
LONSDALE,453.842417716089,0.927975841822364,Gen,Lonsdale,Liquid Fuel,Scheduled,SA
MINTARO,60.0786217682088,0.964719506856445,Gen,Mintaro,Gas,Scheduled,SA
NBHWF1,2.94140803820984,0.977441006923844,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA
OSB-AG,26.7163338005942,0.971211278926995,Gen,Osborne,Gas,Scheduled,SA
POR01,468.902166101482,0.885066923053769,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
POR03,456.499507128032,0.886472861215854,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA
PPCCGT,19.2192897324621,0.971393694329647,Gen,Pelican Point,Gas,Scheduled,SA
PTSTAN1,453.842417716089,0.927975841822364,Gen,Pt Stanvac,Liquid Fuel,Scheduled,SA
QPS1,46.0199913103571,0.966580737814801,Gen,Quarantine,Gas,Scheduled,SA
QPS2,46.0199913103571,0.966580737814801,Gen,Quarantine,Gas,Scheduled,SA
QPS3,46.0199913103571,0.966580737814801,Gen,Quarantine,Gas,Scheduled,SA
QPS4,46.0199913103571,0.966580737814801,Gen,Quarantine,Gas,Scheduled,SA
QPS5,46.0199913103571,0.966580737814801,Gen,Quarantine,Gas,Scheduled,SA
SNOWNTH1,3.55141496409763,0.977380616268888,Gen,Snowtown North Wind Farm,Wind,Semi-scheduled,SA
SNOWSTH1,3.55141496409763,0.977380616268888,Gen,Snowtown South Wind Farm,Wind,Semi-scheduled,SA
SNOWTWN1,4.29217581194085,0.977294897089678,Gen,Snowtown Wind Farm,Wind,Semi-scheduled,SA
SNUG1,464.367428406668,0.795500481018394,Gen,Snuggery,Liquid Fuel,Scheduled,SA
TBSF1,6.35794406373517,0.958105447103643,Gen,Tailem Bend Solar Project 1,Solar,Semi-scheduled,SA
TORRA1,52.6169869484515,0.965681121885646,Gen,Torrens Island,Gas,Scheduled,SA
TORRA2,52.6169869484515,0.965681121885646,Gen,Torrens Island,Gas,Scheduled,SA
TORRA3,52.6169869484515,0.965681121885646,Gen,Torrens Island,Gas,Scheduled,SA
TORRA4,52.6169869484515,0.965681121885646,Gen,Torrens Island,Gas,Scheduled,SA
TORRB1,44.0084707821764,0.966834662272895,Gen,Torrens Island,Gas,Scheduled,SA
TORRB2,44.0084707821764,0.966834662272895,Gen,Torrens Island,Gas,Scheduled,SA
TORRB3,44.0084707821764,0.966834662272895,Gen,Torrens Island,Gas,Scheduled,SA
TORRB4,44.0084707821764,0.966834662272895,Gen,Torrens Island,Gas,Scheduled,SA
WATERLWF,4.56654519332334,0.977294717549139,Gen,Waterloo Wind Farm,Wind,Semi-scheduled,SA
WGWF1,3.02951686476657,0.977439036949909,Gen,Willogoleche Wind Farm,Wind,Semi-scheduled,SA
BASTYAN,13.2425662014814,0.850208002683463,Gen,Bastyan,Hydro,Scheduled,TAS
BBTHREE1,40.318349563483,0.948433422768218,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE2,40.318349563483,0.948433422768218,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
BBTHREE3,40.318349563483,0.948433422768218,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
CETHANA,13.640986138783,0.853019288605069,Gen,Cethana,Hydro,Scheduled,TAS
DEVILS_G,18.1369757341032,0.86333839947165,Gen,Devils Gate,Hydro,Scheduled,TAS
FISHER,13.640986138783,0.853019288605069,Gen,Fisher,Hydro,Scheduled,TAS
GORDON,25.2372750319079,0.743031440364404,Gen,Gordon,Hydro,Scheduled,TAS
JBUTTERS,13.2614972033554,0.850227279514693,Gen,John Butters,Hydro,Scheduled,TAS
LEM_WIL,13.640986138783,0.853019288605069,Gen,Lemonthyme,Hydro,Scheduled,TAS
LI_WY_CA,22.8033877640275,0.769890595798186,Gen,Liapootah Wayatinah Catagunya Aggregate,Hydro,Scheduled,TAS
LK_ECHO,26.2559479208448,0.72307501533137,Gen,Lake Echo,Hydro,Scheduled,TAS
MACKNTSH,13.136795715292,0.849541312444172,Gen,Mackintosh,Hydro,Scheduled,TAS
MEADOWBK,26.3219669270959,0.723602599516908,Gen,Meadowbank,Hydro,Scheduled,TAS
MUSSELR1,18.0641955895399,0.771136325150527,Gen,Musselroe Wind Farm,Wind,Semi-scheduled,TAS
POAT110,13.8174091423003,0.857033262883918,Gen,Poatina,Hydro,Scheduled,TAS
POAT220,13.4246393502875,0.859548868140538,Gen,Poatina,Hydro,Scheduled,TAS
REECE1,13.1771605865057,0.849791943365517,Gen,Reece,Hydro,Scheduled,TAS
REECE2,13.2795917757963,0.850464387742766,Gen,Reece,Hydro,Scheduled,TAS
TARRALEA,26.251250015319,0.723165360808187,Gen,Tarraleah,Hydro,Scheduled,TAS
TREVALLN,13.4359595477733,0.859694916055745,Gen,Trevallyn,Hydro,Scheduled,TAS
TRIBUTE,13.2008379755311,0.849946791961025,Gen,Tribute,Hydro,Scheduled,TAS
TUNGATIN,26.251250015319,0.723165360808187,Gen,Tungatinah,Hydro,Scheduled,TAS
TVCC201,11.7243308824203,0.971309314720085,Gen,Tamar Valley,Gas,Scheduled,TAS
TVPP104,43.7586291448917,0.946916049686846,Gen,Tamar Valley Peaking,Gas,Scheduled,TAS
AGLSOM,56.491714653181,0.987812588763895,Gen,Somerton,Gas,Scheduled,VIC
ARWF1,26.302833432416,0.756497490733608,Gen,Ararat Wind Farm,Wind,Semi-scheduled,VIC
BALBG1,23.9459261288091,0.756871889777733,Gen,Ballarat Battery Energy Storage System,Battery (Discharge),Scheduled,VIC
BALBL1,23.5380950417827,0.757075967801838,Load,Ballarat Battery Energy Storage System,Battery (Charge),Scheduled,VIC
BALDHWF1,0.760293369972185,0.998982221209012,Gen,Bald Hills Wind Farm,Wind,Semi-scheduled,VIC
BANN1,25.6264610996755,0.744301284168411,Gen,Bannerton Solar Park,Solar,Semi-scheduled,VIC
BDL01,22.651131301269,0.992790089389363,Gen,Bairnsdale,Gas,Scheduled,VIC
BDL02,22.651131301269,0.992790089389363,Gen,Bairnsdale,Gas,Scheduled,VIC
CROWLWF1,26.0645486136159,0.756251206552474,Gen,Crowlands Wind Farm,Wind,Semi-scheduled,VIC
DARTM1,62.5223688838452,0.314086090026923,Gen,Dartmouth,Hydro,Scheduled,VIC
EILDON1,27.8084313782923,0.711523465735844,Gen,Eildon,Hydro,Scheduled,VIC
EILDON2,27.8084313782923,0.711523465735844,Gen,Eildon,Hydro,Scheduled,VIC
GANNBG1,52.8567861839083,0.482833718963464,Gen,Gannawarra Energy Storage System,Battery (Discharge),Scheduled,VIC
GANNBL1,28.0180156981283,0.745593252742915,Load,Gannawarra Energy Storage System,Battery (Charge),Scheduled,VIC
GANNSF1,48.7290296117255,0.482709109429851,Gen,Gannawarra Solar Farm,Solar,Semi-scheduled,VIC
HUMEV,37.5181843368006,0.778257213909671,Gen,Hume,Hydro,Scheduled,VIC
JLA01,62.2480048894077,0.98722339172144,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA02,62.2480048894077,0.98722339172144,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA03,62.2480048894077,0.98722339172144,Gen,Jeeralang A,Gas,Scheduled,VIC
JLA04,62.2480048894077,0.98722339172144,Gen,Jeeralang A,Gas,Scheduled,VIC
JLB01,62.2480048894077,0.98722339172144,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB02,62.2480048894077,0.98722339172144,Gen,Jeeralang B,Gas,Scheduled,VIC
JLB03,62.2480048894077,0.98722339172144,Gen,Jeeralang B,Gas,Scheduled,VIC
KARSF1,26.3686707693693,0.717856471034363,Gen,Karadoc Solar Farm,Solar,Semi-scheduled,VIC
KIATAWF1,22.600369475873,0.752069417178481,Gen,Kiata Wind Farm,Wind,Semi-scheduled,VIC
LAVNORTH,31.2967152239598,0.991370207032961,Gen,Laverton,Gas,Scheduled,VIC
LNGS1,31.5501730051048,0.991195314522929,Gen,Laverton,Gas,Scheduled,VIC
LNGS2,31.5501730051048,0.991195314522929,Gen,Laverton,Gas,Scheduled,VIC
LOYYB1,0.610350060688008,0.999033315608951,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LOYYB2,0.610350060688008,0.999033315608951,Gen,Loy Yang B,Brown Coal,Scheduled,VIC
LYA1,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA2,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA3,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
LYA4,0.604433714171382,0.999036700440264,Gen,Loy Yang A,Brown Coal,Scheduled,VIC
MACARTH1,-3.19579561439264,0.99841909680061,Gen,Macarthur Wind Farm,Wind,Semi-scheduled,VIC
MCKAY1,43.8170586039092,0.537842153061183,Gen,McKay,Hydro,Scheduled,VIC
MERCER01,22.2241051800262,0.757493164764526,Gen,Mt Mercer Wind Farm,Wind,Semi-scheduled,VIC
MORTLK11,26.8011595737312,0.989001884051621,Gen,Mortlake,Gas,Scheduled,VIC
MORTLK12,26.8011595737312,0.989001884051621,Gen,Mortlake,Gas,Scheduled,VIC
MTGELWF1,0.746398119799516,0.999298089213375,Gen,Mt Gellibrand Wind Farm,Wind,Semi-scheduled,VIC
MURRAY,70.1501677472586,0.222577824685377,Gen,Murray,Hydro,Scheduled,VIC
MUWAWF1,0.936369622090603,0.969437406209075,Gen,Murra Warra Wind Farm,Wind,Semi-scheduled,VIC
NPS,18.661681220147,0.993467901664782,Gen,Newport,Gas,Scheduled,VIC
NUMURSF1,1.8705210842224,0.987743046455931,Gen,Numurkah Solar Farm,Solar,Semi-scheduled,VIC
OAKLAND1,26.6338192442766,0.715613364270242,Gen,Oaklands Hill Wind Farm,Wind,Semi-scheduled,VIC
SALTCRK1,23.8097733230906,0.757864041408399,Gen,Salt Creek Wind Farm,Wind,Semi-scheduled,VIC
VPGS,56.2818408667843,0.987963770888532,Gen,Valley Power,Gas,Scheduled,VIC
VPGS1,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS2,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS3,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS4,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS5,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
VPGS6,56.281096087421,0.987963478673319,Gen,Valley Power,Gas,Scheduled,VIC
WEMENSF1,25.6149349247755,0.744309573628657,Gen,Wemen Solar Farm,Solar,Semi-scheduled,VIC
WKIEWA1,66.5430341054732,0.263766788611651,Gen,West Kiewa,Hydro,Scheduled,VIC
WKIEWA2,66.5430341054732,0.263766788611651,Gen,West Kiewa,Hydro,Scheduled,VIC
YENDWF1,2.99658053730175,0.971609298747427,Gen,Yendon Wind Farm,Wind,Semi-scheduled,VIC
YWPS1,0.700107841250476,0.998981867606736,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS2,0.871574054838227,0.998911131424858,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS3,0.871574054838227,0.998911131424858,Gen,Yallourn W,Brown Coal,Scheduled,VIC
YWPS4,0.871574054838227,0.998911131424858,Gen,Yallourn W,Brown Coal,Scheduled,VIC
