duid,alpha_mc,beta_mc,profit_lmp,profit_lmp_mc,profit_rrp,profit_lmp_90,profit_lmp_mc_90,profit_rrp_90,type,station,fuel_type,schedule_type,region,station_name,lat,lon,dispatch_type,classification,alpha_mc_percentile,beta_mc_percentile,profit_lmp_percentile,profit_lmp_mc_percentile,profit_lmp_90_percentile,profit_lmp_mc_90_percentile
KAREEYA3,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD,Kareeya Power Station,-17.7670019999999,145.577865,Generator,Scheduled,75,10,39,13,39,14
KAREEYA4,53.7011321667638,0.180224226602025,135748.5518,71391.9593122789,115495.10944,128062.939713,63530.5463752789,105246.192707,Gen,Kareeya,Hydro,Scheduled,QLD,Kareeya Power Station,-17.7670019999999,145.577865,Generator,Scheduled,75,10,39,13,39,15
KPP_1,53.1842721961845,0.26971633818434,98882.39406,74485.4657427795,115495.10944,90416.216058,66019.2877407795,105246.192707,Gen,Kogan Creek,Black Coal,Scheduled,QLD,Kogan Creek Power Station,-26.917683333,150.749283333,Generator,Scheduled,73,21,1,20,12,21
KSP1,53.0847575028687,0.183835436465721,131832.24538,72733.4832,115495.10944,124132.823101,64859.720071,105246.192707,Gen,Kidston Solar Stage 1,Solar,Semi-scheduled,QLD,,,,,,73,15,32,18,33,18
LILYSF1,52.374791532531,0.18082239193815,141913.81656,72732.25715,115495.10944,134228.243418,64872.343158,105246.192707,Gen,Lilyvale Solar Farm,Solar,Semi-scheduled,QLD,,,,,,67,11,44,18,45,18
MACKAYGT,493.005792644247,0.00637228694205474,135747.14541,4931.20898801178,115495.10944,128061.506323,-13571.5054218963,105246.192707,Gen,Mackay,Liquid Fuel,Scheduled,QLD,Mackay Gas Turbine,-21.1445659999999,149.159097,Generator,Scheduled,100,1,37,1,38,1
MEWF1,52.2979099205327,0.181560763956575,176285.51343,72492.8234084488,115495.10944,168728.925377,64661.0818174488,105246.192707,Gen,Mount Emerald Wind Farm,Wind,Semi-scheduled,QLD,,,,,,67,12,47,15,48,15
MPP_1,52.2897239255065,0.286226827628783,100819.89664,77918.9130025271,115495.10944,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD,Millmerran Power Plant,-27.961542,151.278949,Generator,Scheduled,67,22,16,23,19,23
MPP_2,52.2897239255065,0.286226827628783,100819.89664,77918.9130025271,115495.10944,92042.944197,69141.960559527,105246.192707,Gen,Millmerran,Black Coal,Scheduled,QLD,Millmerran Power Plant,-27.961542,151.278949,Generator,Scheduled,67,22,17,23,20,24
MSTUART1,460.775796691037,0.0070565759193569,135749.24724,5157.27139482948,115495.10944,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD,Mt Stuart Power Station,-19.337998,146.851171,Generator,Scheduled,99,1,39,1,40,1
MSTUART2,460.775796691037,0.0070565759193569,135749.24724,5157.27139482948,115495.10944,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD,Mt Stuart Power Station,-19.337998,146.851171,Generator,Scheduled,99,1,40,1,40,1
MSTUART3,460.775796691037,0.0070565759193569,135749.24724,5157.27139482948,115495.10944,128063.639153,-12193.3344760605,105246.192707,Gen,Mt Stuart,Liquid Fuel,Scheduled,QLD,Mt Stuart Power Station,-19.337998,146.851171,Generator,Scheduled,99,1,40,1,40,1
OAKEY1,48.9309873927171,0.772602276634729,115504.47885,66425.336597336,115495.10944,105255.562117,56163.2403244482,105246.192707,Gen,Oakey,Gas,Scheduled,QLD,Oakey Power Station,-27.4183619999999,151.679767,Generator,Scheduled,65,31,29,10,29,7
OAKEY1SF,10.1200352496944,0.876423571769871,115495.10944,95060.48277,115495.10944,105246.192707,84811.566037,105246.192707,Gen,Oakey 1 Solar Farm,Solar,Semi-scheduled,QLD,,,,,,34,42,25,34,25,35
OAKEY2,48.9309873927171,0.772602276634729,115504.47885,66425.336597336,115495.10944,105255.562117,56163.2403244482,105246.192707,Gen,Oakey,Gas,Scheduled,QLD,Oakey Power Station,-27.4183619999999,151.679767,Generator,Scheduled,65,31,29,10,29,7
OAKEY2SF,9.8779127307245,0.873172189915296,119120.735,95193.57902,115495.10944,108887.974955,84960.818975,105246.192707,Gen,Oakey 2 Solar Farm,Solar,Semi-scheduled,QLD,,,,,,33,42,30,35,30,35
PUMP1,10.5588654956621,0.872982647252396,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD,Wivenhoe Power Station No. 1 Pump,-27.3722209999999,152.632028,Load Norm Off,Scheduled,35,41,25,32,25,34
PUMP2,10.5588654956621,0.872982647252396,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Load,Wivenhoe,Pumped Hydro (Pumping),Scheduled,QLD,Wivenhoe Power Station No. 2 Pump,-27.3722209999999,152.632028,Load Norm Off,Scheduled,35,41,26,32,26,34
ROMA_7,98.0315094293398,0.178425398416186,100638.15662,48847.7206966177,115495.10944,91891.747789,40063.3928113477,105246.192707,Gen,Roma,Gas,Scheduled,QLD,Roma Gas Turbine Station,-26.577201,148.840199,Generator,Scheduled,97,6,11,2,14,2
ROMA_8,98.0315094293398,0.178425398416186,100638.15662,48847.7206966177,115495.10944,91891.747789,40063.3928113477,105246.192707,Gen,Roma,Gas,Scheduled,QLD,Roma Gas Turbine Station,-26.577201,148.840199,Generator,Scheduled,97,6,12,2,15,2
RRSF1,52.9327629747996,0.182332797106016,134975.28748,72682.36944,115495.10944,127289.713009,64822.454119,105246.192707,Gen,Ross River Solar Farm,Solar,Semi-scheduled,QLD,,,,,,71,14,37,16,37,17
RUGBYR1,53.1921898648816,0.185944259020455,128465.93933,72735.94198,115495.10944,120721.05793,64816.71973,105246.192707,Gen,Rugby Run Solar Farm,Solar,Semi-scheduled,QLD,,,,,,73,16,31,18,32,16
SMCSF1,52.5492720711619,0.184058438864464,144603.13619,72952.87434,115495.10944,136904.025652,65079.422952,105246.192707,Gen,Sun Metals Solar Farm,Solar,Semi-scheduled,QLD,,,,,,68,16,45,19,45,19
SRSF1,55.2330731378971,0.215248852544555,121189.05699,77265.19118,115495.10944,112838.15629,68914.29048,105246.192707,Gen,Susan River Solar Farm,Solar,Semi-scheduled,QLD,,,,,,79,17,30,22,30,23
STAN-1,56.6502933745787,0.172959440024648,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD,Stanwell Power Station,-23.50972,150.319466,Generator,Scheduled,84,5,34,8,35,9
STAN-2,56.6502933745787,0.172959440024648,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD,Stanwell Power Station,-23.50972,150.319466,Generator,Scheduled,84,5,35,9,35,9
STAN-3,56.6502933745787,0.172959440024648,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD,Stanwell Power Station,-23.50972,150.319466,Generator,Scheduled,84,5,35,9,35,10
STAN-4,56.6502933745787,0.172959440024648,133582.47985,65758.6532300882,115495.10944,125882.147571,57877.8853262605,105246.192707,Gen,Stanwell,Black Coal,Scheduled,QLD,Stanwell Power Station,-23.50972,150.319466,Generator,Scheduled,85,6,35,9,36,10
SWAN_B_1,13.6090159730834,0.852175441464953,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD,,,,,,40,36,26,28,26,28
SWAN_B_2,13.6090159730834,0.852175441464953,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD,,,,,,41,36,26,28,26,28
SWAN_B_3,13.6090159730834,0.852175441464953,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD,,,,,,41,37,27,28,27,29
SWAN_B_4,13.6090159730834,0.852175441464953,115495.10944,86827.3348062496,115495.10944,105246.192707,76578.4180732496,105246.192707,Gen,Swanbank,Black Coal,Scheduled,QLD,,,,,,41,37,27,29,27,29
SWAN_E,23.488402699743,0.815723460697129,115495.10944,77354.367085463,115495.10944,105246.192707,67105.450352463,105246.192707,Gen,Swanbank,Gas,Scheduled,QLD,Swanbank E Gas Turbine,-27.6553739999999,152.817938,Generator,Scheduled,49,32,27,23,27,22
TARONG#1,54.1184312776368,0.267644193862893,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD,Tarong Power Station,-26.7823579999999,151.915273,Generator,Scheduled,76,19,15,20,18,20
TARONG#2,54.1184312776368,0.267644193862893,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD,Tarong Power Station,-26.7823579999999,151.915273,Generator,Scheduled,76,20,15,21,18,20
TARONG#3,54.1184312776368,0.267644193862893,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD,Tarong Power Station,-26.7823579999999,151.915273,Generator,Scheduled,77,20,15,21,18,21
TARONG#4,54.1184312776368,0.267644193862893,100662.03143,74546.4202485738,115495.10944,91911.218118,65795.6069365738,105246.192707,Gen,Tarong,Black Coal,Scheduled,QLD,Tarong Power Station,-26.7823579999999,151.915273,Generator,Scheduled,77,20,16,21,19,21
TNPS1,53.904869235453,0.268988980008369,100662.03143,75087.2500127735,115495.10944,91911.218118,66336.4367007735,105246.192707,Gen,Tarong North,Black Coal,Scheduled,QLD,Tarong North Power Station,-26.775763,151.914602,Generator,Scheduled,76,21,16,22,19,22
W/HOE#1,10.561654896109,0.872989519549854,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD,Wivenhoe Power Station,-27.395212,152.609153,Generator,Scheduled,35,41,28,32,28,34
W/HOE#2,10.561654896109,0.872989519549854,115495.10944,94125.8871625638,115495.10944,105246.192707,83876.9704295638,105246.192707,Gen,Wivenhoe,Pumped Hydro (Release),Scheduled,QLD,Wivenhoe Power Station,-27.395212,152.609153,Generator,Scheduled,36,42,28,33,28,34
WHITSF1,52.9782197594327,0.18226221332949,133942.989,72653.73748,115495.10944,126257.349913,64793.757543,105246.192707,Gen,Whitsunday Solar Farm,Solar,Semi-scheduled,QLD,,,,,,71,13,36,16,36,16
YABULU,69.6943835164175,0.138493762883863,135749.34126,53128.7448478959,115495.10944,128063.731173,45253.7851767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD,Townsville Gas Turbine,-19.2010559999999,146.618707,Generator,Scheduled,93,2,40,5,41,5
YABULU2,69.6943883217031,0.138493551414066,135749.39126,53128.6648478959,115495.10944,128063.789173,45253.7131767655,105246.192707,Gen,Yabulu,Gas,Scheduled,QLD,Townsville Gas Turbine,-19.2010559999999,146.618707,Generator,Scheduled,93,2,41,5,41,5
YARANSF1,10.1150929723689,0.876524800066861,115495.10944,95060.48277,115495.10944,105246.192707,84811.566037,105246.192707,Gen,Yarranlea Solar Farm,Solar,Semi-scheduled,QLD,,,,,,34,43,28,34,28,35
YARWUN_1,42.3762825444959,0.780649934313055,115495.10944,68817.3434308946,115495.10944,105246.192707,58565.7364639382,105246.192707,Gen,Yarwun,Gas,Scheduled,QLD,Yarwun Power Station,-23.830645,151.15193,Generator,Non-Scheduled,60,32,29,12,29,10
AGLHAL,78.4121815461849,0.949852970196875,303528.6643,146866.711806357,303604.65897,283476.883192,126620.953810113,282293.884433,Gen,Hallett,Gas,Scheduled,SA,Hallett Power Station,-33.348652,138.751659,Generator,Scheduled,94,50,78,49,84,49
ANGAST1,454.101492799228,0.928715882920855,312327.06048,119678.443515706,303604.65897,290421.631138,88321.5790367825,282293.884433,Gen,Angaston,Liquid Fuel,Scheduled,SA,Angaston Power Station,-34.50348,139.024537,Generator,Scheduled,98,46,86,47,87,41
BARKIPS1,48.2370320035416,0.966165405378128,303604.65897,169463.740220425,303604.65897,282293.884433,148117.217844744,282293.884433,Gen,Barker Inlet Power Station,Gas,Scheduled,SA,,,,,,64,56,78,59,78,59
BLUFF1,2.94626107714495,0.977406971891596,356929.69062,203110.492715504,303604.65897,335785.160864,181964.150822504,282293.884433,Gen,The Bluff Wind Farm,Wind,Semi-scheduled,SA,The Bluff Wind Farm,-33.3693309999999,138.982476,Generator,Semi-Scheduled,24,66,98,83,98,83
BNGSF1,5.88510553592233,0.977205144762788,322833.09994,204365.46013,303604.65897,301589.475605,183121.835795,282293.884433,Gen,Bungala One Solar Farm,Solar,Semi-scheduled,SA,,,,,,30,63,89,85,90,85
BNGSF2,5.92575611058499,0.977227252396291,320165.73508,204398.09674,303604.65897,298916.312154,183148.673814,282293.884433,Gen,Bungala Two Solar Farm,Solar,Semi-scheduled,SA,,,,,,30,64,88,85,89,85
CLEMGPWF,3.68009180048007,0.977366008543317,349923.84234,203442.974295504,303604.65897,328728.94498,182248.076935504,282293.884433,Gen,Clements Gap Wind Farm,Wind,Semi-scheduled,SA,Clements Gap Wind Farm,-33.508567709,138.119175192,Generator,Semi-Scheduled,27,65,97,84,97,84
DALNTH01,8.58759040423925,0.97690096002905,340997.53582,207877.09298,303604.65897,319420.298305,186299.855465,282293.884433,Gen,Dalrymple North BESS,Battery (Discharge),Scheduled,SA,,,,,,32,63,94,86,94,86
DALNTHL1,18.5412119946781,0.975206957048321,452178.20202,353273.69723,303604.65897,416027.065235,317122.560445,282293.884433,Load,Dalrymple North BESS,Battery (Charge),Scheduled,SA,,,,,,46,62,100,100,100,100
DRYCGT1,67.1533602735117,0.963825004985907,303604.65897,162722.399608248,303604.65897,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA,Dry Creek Gas Turbine Station,-34.847463,138.581758,Generator,Scheduled,92,51,79,55,79,55
DRYCGT2,67.1533602735117,0.963825004985907,303604.65897,162722.399608248,303604.65897,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA,Dry Creek Gas Turbine Station,-34.847463,138.581758,Generator,Scheduled,92,52,79,55,79,55
DRYCGT3,67.1533602735117,0.963825004985907,303604.65897,162722.399608248,303604.65897,282293.884433,141288.781677969,282293.884433,Gen,Dry Creek,Gas,Scheduled,SA,Dry Creek Gas Turbine Station,-34.847463,138.581758,Generator,Scheduled,93,52,79,55,79,55
HALLWF1,3.72441855967135,0.964521289024724,345261.13174,190713.145376217,303604.65897,325368.912397,170820.926033217,282293.884433,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA,Hallett 1 Wind Farm,-33.348652,138.751659,Generator,Semi-Scheduled,27,53,96,67,96,68
HALLWF2,2.3028282057499,0.9772254724966,357263.19298,202271.29224856,303604.65897,336316.04692,181222.065000213,282293.884433,Gen,Hallett Wind Farm,Wind,Semi-scheduled,SA,Hallett 2 Wind Farm,-33.348652,138.751659,Generator,Semi-Scheduled,24,64,98,81,98,81
HDWF1,4.20163164748682,0.964511619986679,343788.72351,190850.369979689,303604.65897,323874.816955,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA,Hornsdale Wind Farm,-33.042878,138.556285,Generator,Semi-Scheduled,28,53,95,67,95,68
HDWF2,4.20221754704925,0.964511520567052,342788.72356,190850.369979689,303604.65897,322874.817005,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA,Hornsdale Wind Farm 2,-33.042878,138.556285,Generator,Semi-Scheduled,28,52,94,67,95,68
HDWF3,4.20221754704925,0.964511520567052,342788.72356,190850.369979689,303604.65897,322874.817005,170936.463424689,282293.884433,Gen,Hornsdale Wind Farm,Wind,Semi-scheduled,SA,,,,,,28,53,95,67,95,69
HPRG1,13.101731532132,0.901342142303894,292273.48469,177717.64927,303604.65897,273715.210534,159159.375114,282293.884433,Gen,Hornsdale Power Reserve,Battery (Discharge),Scheduled,SA,,,,,,37,45,74,64,77,64
HPRL1,19.0198439924214,0.97829961047144,345122.51359,247182.199,303604.65897,319573.392135,221633.077545,282293.884433,Load,Hornsdale Power Reserve,Battery (Charge),Scheduled,SA,,,,,,47,67,95,90,94,92
LADBROK1,57.5341394352548,0.89098131890262,335414.49423,175163.473990941,303604.65897,313521.153397,153122.082776239,282293.884433,Gen,Ladbroke Grove,Gas,Scheduled,SA,Ladbroke Grove Power Station,-37.456673,140.782692,Generator,Scheduled,87,44,93,63,93,63
LADBROK2,57.5504422702628,0.889505270875177,330990.23649,170739.212270941,303604.65897,309539.321829,149140.247228239,282293.884433,Gen,Ladbroke Grove,Gas,Scheduled,SA,Ladbroke Grove Power Station,-37.456673,140.782692,Generator,Scheduled,87,44,90,59,91,59
LBBG1,16.3551957715203,0.877196562807093,296841.47528,195442.33057,303604.65897,276468.794728,175069.650018,282293.884433,Gen,Lake Bonney BESS1,Battery (Discharge),Scheduled,SA,,,,,,45,43,76,69,78,71
LBBL1,8.5527461354574,0.978457996042587,306938.74493,208152.37633,303604.65897,285294.561797,186508.193197,282293.884433,Load,Lake Bonney BESS1,Battery (Charge),Scheduled,SA,,,,,,31,67,85,86,84,86
LGAPWF1,3.43485732080367,0.977381200924893,347186.01637,203066.276204375,303604.65897,326027.110334,181907.370168375,282293.884433,Gen,Lincoln Gap Wind Farm,Wind,Semi-scheduled,SA,,,,,,26,66,96,82,96,82
LKBONNY2,10.4859783581499,0.870348265356355,362213.15044,201584.721656515,303604.65897,341457.288185,180631.486670474,282293.884433,Gen,Lake Bonney Stage 2,Wind,Semi-scheduled,SA,Lake Bonney Stage 2 Windfarm,-37.771349882,140.398083927,Generator,Semi-Scheduled,34,40,99,81,99,81
LKBONNY3,10.3433121350847,0.870352548507101,347176.85853,187396.544970951,303604.65897,327840.129867,167862.443576909,282293.884433,Gen,Lake Bonney Stage 3,Wind,Semi-scheduled,SA,Lake Bonney Stage 3 Wind Farm,-37.771349882,140.398083927,Generator,Semi-Scheduled,34,40,96,66,96,66
LONSDALE,453.842417716089,0.927975841822364,303604.65897,116994.488174754,303604.65897,282293.884433,85906.019229926,282293.884433,Gen,Lonsdale,Liquid Fuel,Scheduled,SA,Lonsdale Power Station,-35.1096685539999,138.491006821,Generator,Scheduled,97,45,80,46,80,37
MINTARO,60.0786217682088,0.964719506856445,316518.19137,171073.33221115,303604.65897,294663.590991,149145.514317284,282293.884433,Gen,Mintaro,Gas,Scheduled,SA,Mintaro Gas Turbine Station,-33.9030999999999,138.7383,Generator,Scheduled,88,54,86,61,88,60
NBHWF1,2.94140803820984,0.977441006923844,357996.85956,203174.971232032,303604.65897,336852.329804,182028.629339032,282293.884433,Gen,North Brown Hill Wind Farm,Wind,Semi-scheduled,SA,North Brown Hill Wind Farm,-33.2525759999999,138.712289,Generator,Semi-Scheduled,24,67,99,83,99,83
NPS1,8.64218849470455,0.976444470238161,303604.65897,202843.273776375,303604.65897,282293.884433,181532.499239375,282293.884433,Gen,Northern,Brown Coal,Scheduled,SA,,,,,,32,62,80,82,80,82
NPS2,8.64218849470455,0.976444470238161,303604.65897,202843.273776375,303604.65897,282293.884433,181532.499239375,282293.884433,Gen,Northern,Brown Coal,Scheduled,SA,,,,,,32,63,80,82,80,82
OSB-AG,26.7163338005942,0.971211278926995,312249.92459,187422.234149262,303604.65897,290281.440724,165453.383719834,282293.884433,Gen,Osborne,Gas,Scheduled,SA,Osborne Power Station,-34.798021,138.507884,Generator,Scheduled,54,59,85,66,87,65
PLAYB-AG,8.86625302161995,0.976238213494533,303604.65897,202070.099145559,303604.65897,282293.884433,180759.324608559,282293.884433,Gen,Playford,Brown Coal,Scheduled,SA,,,,,,33,62,81,81,81,81
POR01,468.902166101482,0.885066923053769,323325.67822,123620.855595449,303604.65897,301371.387586,91893.7363943742,282293.884433,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA,Port Lincoln Gas Turbine,-34.70019,135.804728,Generator,Scheduled,100,43,89,47,89,44
POR03,456.499507128032,0.886472861215854,309005.67822,109453.694056987,303604.65897,288483.387586,79143.2910097588,282293.884433,Gen,Port Lincoln,Liquid Fuel,Scheduled,SA,Port Lincoln Gas Turbine,-34.70019,135.804728,Generator,Scheduled,98,44,85,43,85,29
PPCCGT,19.2192897324621,0.971393694329647,306738.75111,184518.202186842,303604.65897,285427.976573,163207.427649842,282293.884433,Gen,Pelican Point,Gas,Scheduled,SA,Pelican Point Power Station,-34.7649719999999,138.505325,Generator,Scheduled,47,60,84,65,85,65
PTSTAN1,453.842417716089,0.927975841822364,303604.65897,116994.488174754,303604.65897,282293.884433,85906.019229926,282293.884433,Gen,Pt Stanvac,Liquid Fuel,Scheduled,SA,Port Stanvac Power Station 1,-35.110395344,138.49145908,Generator,Scheduled,98,46,81,46,81,37
QPS1,46.0199913103571,0.966580737814801,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA,Quarantine Power Station,-34.779284,138.522352,Generator,Scheduled,62,56,91,78,92,69
QPS2,46.0199913103571,0.966580737814801,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA,Quarantine Power Station,-34.779284,138.522352,Generator,Scheduled,63,56,91,79,92,70
QPS3,46.0199913103571,0.966580737814801,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA,Quarantine Power Station,-34.779284,138.522352,Generator,Scheduled,63,57,91,79,92,70
QPS4,46.0199913103571,0.966580737814801,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA,Quarantine Power Station,-34.779284,138.522352,Generator,Scheduled,63,57,92,79,93,70
QPS5,46.0199913103571,0.966580737814801,333930.25638,198980.492488631,303604.65897,309793.354342,174815.910174159,282293.884433,Gen,Quarantine,Gas,Scheduled,SA,Quarantine Power Station,-34.779284,138.522352,Generator,Scheduled,64,57,92,80,93,71
SNOWNTH1,3.55141496409763,0.977380616268888,349297.3057,203329.483445504,303604.65897,328119.76542,182151.943165504,282293.884433,Gen,Snowtown North Wind Farm,Wind,Semi-scheduled,SA,Snowtown Wind Farm Stage 2 North,-33.830082043,138.118411397,Generator,Semi-Scheduled,26,65,97,84,97,84
SNOWSTH1,3.55141496409763,0.977380616268888,349297.3057,203329.483445504,303604.65897,328119.76542,182151.943165504,282293.884433,Gen,Snowtown South Wind Farm,Wind,Semi-scheduled,SA,Snowtown South Wind Farm,-33.7138669999999,138.140367,Generator,Semi-Scheduled,27,66,97,84,97,84
SNOWTWN1,4.29217581194085,0.977294897089678,370614.17916,204728.385297346,303604.65897,349330.280136,183444.486273346,282293.884433,Gen,Snowtown Wind Farm,Wind,Semi-scheduled,SA,Snowtown Wind Farm Units 1 to 47,-33.7138669999999,138.140367,Generator,Semi-Scheduled,29,65,100,86,100,86
SNUG1,464.367428406668,0.795500481018394,316922.32493,103451.280793911,303604.65897,297143.635037,73741.1190729896,282293.884433,Gen,Snuggery,Liquid Fuel,Scheduled,SA,Snuggery Power Station,-37.664551,140.415558,Generator,Scheduled,100,32,86,42,88,25
TBSF1,6.35794406373517,0.958105447103643,335447.50965,203999.10243,303604.65897,314244.937042,182796.529822,282293.884433,Gen,Tailem Bend Solar Project 1,Solar,Semi-scheduled,SA,,,,,,31,51,93,85,94,85
TORRA1,52.6169869484515,0.965681121885646,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""A""",-34.806844,138.521322,Generator,Scheduled,68,54,81,57,81,56
TORRA2,52.6169869484515,0.965681121885646,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""A""",-34.806844,138.521322,Generator,Scheduled,68,54,82,58,82,57
TORRA3,52.6169869484515,0.965681121885646,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""A""",-34.806844,138.521322,Generator,Scheduled,69,55,82,58,82,57
TORRA4,52.6169869484515,0.965681121885646,303604.65897,167772.779752826,303604.65897,282293.884433,146413.529357109,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""A""",-34.806844,138.521322,Generator,Scheduled,69,55,82,58,82,57
TORRB1,44.0084707821764,0.966834662272895,303604.65897,171128.109475398,303604.65897,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""B""",-34.805171,138.52262,Generator,Scheduled,61,58,83,61,83,61
TORRB2,44.0084707821764,0.966834662272895,304623.45736,171128.109475398,303604.65897,283312.682823,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""B""",-34.805171,138.52262,Generator,Scheduled,61,58,84,61,84,61
TORRB3,44.0084707821764,0.966834662272895,303604.65897,171128.109475398,303604.65897,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""B""",-34.805171,138.52262,Generator,Scheduled,62,58,83,62,83,61
TORRB4,44.0084707821764,0.966834662272895,303604.65897,171128.109475398,303604.65897,282293.884433,149792.993237859,282293.884433,Gen,Torrens Island,Gas,Scheduled,SA,"Torrens Island Power Station ""B""",-34.805171,138.52262,Generator,Scheduled,62,59,83,62,83,62
