duid,station,fuel_type,region,profit_lmp,profit_lmp_mc,profit_rrp,alpha_mc,beta_mc,lat,lon,profit_lmp_percentile,profit_lmp_mc_percentile,alpha_mc_percentile,beta_mc_percentile,commission_2019
LONSDALE,Lonsdale,Liquid Fuel,SA,282293.884433,85906.019229926,282293.884433,453.842417716089,0.927975841822364,-35.1096685539999,138.491006821,79,37,97,49,FALSE
LOYYB1,Loy Yang B,Brown Coal,VIC,187283.938836,176556.237013308,185916.339906,0.610350060688008,0.999033315608951,-38.256447,146.58637,57,75,10,92,FALSE
LOYYB2,Loy Yang B,Brown Coal,VIC,187283.938836,176556.237013308,185916.339906,0.610350060688008,0.999033315608951,-38.256447,146.58637,57,76,11,92,FALSE
LYA1,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,57,76,9,93,FALSE
LYA2,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,58,76,9,93,FALSE
LYA3,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,58,77,10,93,FALSE
LYA4,Loy Yang A,Brown Coal,VIC,187283.938836,176581.769026116,185916.339906,0.604433714171382,0.999036700440264,-38.2536,146.574569,58,77,10,94,FALSE
MACARTH1,Macarthur Wind Farm,Wind,VIC,193584.467538,177394.444786333,185916.339906,-3.19579561439264,0.99841909680061,-38.0075268429999,142.186510137,64,80,1,89,FALSE
MACKAYGT,Mackay,Liquid Fuel,QLD,128061.506323,-13571.5054218963,105246.192707,493.005792644247,0.00637228694205474,-21.1445659999999,149.159097,38,1,100,1,FALSE
MACKNTSH,Mackintosh,Hydro,TAS,270152.120092,249849.29455285,264590.034752,13.136795715292,0.849541312444172,-41.6997499999999,145.646119,76,96,33,36,FALSE
MANSLR1,Manildra Solar Farm,Solar,NSW,88410.597578,88195.934358,88703.045594,0.0306142437450661,0.999151135252827,,,1,41,4,94,FALSE
MCKAY1,McKay,Hydro,VIC,147262.478095,132811.771736159,185916.339906,43.8170586039092,0.537842153061183,-36.8054609999999,147.228034,47,51,57,26,FALSE
MEADOWBK,Meadowbank,Hydro,TAS,287341.062499,265699.141539497,264590.034752,26.3219669270959,0.723602599516908,-42.6111989999999,146.845676,84,98,48,29,FALSE
MERCER01,Mt Mercer Wind Farm,Wind,VIC,198433.869384,177067.709880606,185916.339906,22.2241051800262,0.757493164764526,-37.841111,143.871111,65,79,41,33,FALSE
MEWF1,Mount Emerald Wind Farm,Wind,QLD,168728.925377,64661.0818174488,105246.192707,52.2979099205327,0.181560763956575,,,49,17,64,14,FALSE
MINTARO,Mintaro,Gas,SA,294663.590991,149145.514317284,282293.884433,60.0786217682088,0.964719506856445,-33.9030999999999,138.7383,87,62,86,58,FALSE
MOREESF1,Moree Solar Farm,Solar,NSW,94973.61616,89426.71055,88703.045594,-0.0922784528642647,0.99093145411875,-29.569,149.867,20,44,2,81,FALSE
MORTLK11,Mortlake,Gas,VIC,192217.21786,143144.011318158,185916.339906,26.8011595737312,0.989001884051621,-38.063169322,142.667478911,64,57,49,79,FALSE
MORTLK12,Mortlake,Gas,VIC,192217.21786,143144.011318158,185916.339906,26.8011595737312,0.989001884051621,-38.063169322,142.667478911,64,58,50,79,FALSE
MP1,Mt Piper,Black Coal,NSW,88419.23576,79970.3631309523,88703.045594,1.59982035017754,0.992887550491579,-33.358892,150.031322,2,32,14,85,FALSE
MP2,Mt Piper,Black Coal,NSW,88419.23576,79970.3631309523,88703.045594,1.59982035017754,0.992887550491579,-33.358892,150.031322,2,32,15,85,FALSE
MPP_1,Millmerran,Black Coal,QLD,92042.944197,69141.960559527,105246.192707,52.2897239255065,0.286226827628783,-27.961542,151.278949,20,26,63,24,FALSE
MPP_2,Millmerran,Black Coal,QLD,92042.944197,69141.960559527,105246.192707,52.2897239255065,0.286226827628783,-27.961542,151.278949,20,26,64,24,FALSE
MSTUART1,Mt Stuart,Liquid Fuel,QLD,128063.639153,-12193.3344760605,105246.192707,460.775796691037,0.0070565759193569,-19.337998,146.851171,40,1,98,1,FALSE
MSTUART2,Mt Stuart,Liquid Fuel,QLD,128063.639153,-12193.3344760605,105246.192707,460.775796691037,0.0070565759193569,-19.337998,146.851171,40,1,99,1,FALSE
MSTUART3,Mt Stuart,Liquid Fuel,QLD,128063.639153,-12193.3344760605,105246.192707,460.775796691037,0.0070565759193569,-19.337998,146.851171,41,2,99,2,FALSE
MTGELWF1,Mt Gellibrand Wind Farm,Wind,VIC,187806.281717,178245.555198804,185916.339906,0.746398119799516,0.999298089213375,,,62,81,11,96,FALSE
MURRAY,Murray,Hydro,VIC,119664.019179,105938.9464488,185916.339906,70.1501677472586,0.222577824685377,-36.2467129999999,148.190095,31,48,93,19,FALSE
MUSSELR1,Musselroe Wind Farm,Wind,TAS,306825.916509,228224.23310453,264590.034752,18.0641955895399,0.771136325150527,-40.7797579959999,148.009759169,90,92,40,34,FALSE
MUWAWF1,Murra Warra Wind Farm,Wind,VIC,189363.8078,162739.007113316,185916.339906,0.936369622090603,0.969437406209075,,,63,66,13,64,TRUE
NBHWF1,North Brown Hill Wind Farm,Wind,SA,336852.329804,182028.629339032,282293.884433,2.94140803820984,0.977441006923844,-33.2525759999999,138.712289,99,83,19,72,FALSE
NEVERSF1,NEVERTIRE SOLAR FARM,Solar,NSW,88703.045594,88488.382374,88703.045594,0.00876811865599462,0.999944226162913,,,7,42,3,97,TRUE
NPS,Newport,Gas,VIC,187499.319371,155811.46824472,185916.339906,18.661681220147,0.993467901664782,-37.841462,144.894197,61,66,41,86,FALSE
NUMURSF1,Numurkah Solar Farm,Solar,VIC,176943.416586,169966.435936,185916.339906,1.8705210842224,0.987743046455931,,,49,70,15,76,TRUE
NYNGAN1,Nyngan Solar Plant,Solar,NSW,88409.031578,88194.368358,88703.045594,0.0321883794426986,0.999110979773256,-31.552740361,147.08535195,1,40,4,94,FALSE
OAKEY1,Oakey,Gas,QLD,105255.562117,56163.2403244482,105246.192707,48.9309873927171,0.772602276634729,-27.4183619999999,151.679767,28,8,61,34,FALSE
OAKEY1SF,Oakey 1 Solar Farm,Solar,QLD,105246.192707,84811.566037,105246.192707,10.1200352496944,0.876423571769871,,,24,35,28,46,TRUE
OAKEY2,Oakey,Gas,QLD,105255.562117,56163.2403244482,105246.192707,48.9309873927171,0.772602276634729,-27.4183619999999,151.679767,28,8,61,35,FALSE
OAKEY2SF,Oakey 2 Solar Farm,Solar,QLD,108887.974955,84960.818975,105246.192707,9.8779127307245,0.873172189915296,,,29,35,28,45,TRUE
OAKLAND1,Oaklands Hill Wind Farm,Wind,VIC,196856.728993,152709.473505432,185916.339906,26.6338192442766,0.715613364270242,-37.663801,142.548056,65,65,49,27,FALSE
OSB-AG,Osborne,Gas,SA,290281.440724,165453.383719834,282293.884433,26.7163338005942,0.971211278926995,-34.798021,138.507884,86,68,49,64,FALSE
PARSF1,Parkes Solar Farm,Solar,NSW,88414.28576,88199.62254,88703.045594,0.0298083395331244,0.999169047999313,,,2,41,4,95,FALSE
POAT110,Poatina,Hydro,TAS,251414.416358,237501.251446078,264590.034752,13.8174091423003,0.857033262883918,-41.811573,146.919038,70,93,39,42,FALSE
POAT220,Poatina,Hydro,TAS,253749.972491,240235.865911927,264590.034752,13.4246393502875,0.859548868140538,-41.811573,146.919038,71,95,35,42,FALSE
POR01,Port Lincoln,Liquid Fuel,SA,301371.387586,91893.7363943742,282293.884433,468.902166101482,0.885066923053769,-34.70019,135.804728,89,44,100,47,FALSE
POR03,Port Lincoln,Liquid Fuel,SA,288483.387586,79143.2910097588,282293.884433,456.499507128032,0.886472861215854,-34.70019,135.804728,84,30,98,47,FALSE
PPCCGT,Pelican Point,Gas,SA,285427.976573,163207.427649842,282293.884433,19.2192897324621,0.971393694329647,-34.7649719999999,138.505325,83,67,41,65,FALSE
PTSTAN1,Pt Stanvac,Liquid Fuel,SA,282293.884433,85906.019229926,282293.884433,453.842417716089,0.927975841822364,-35.110395344,138.49145908,79,37,97,49,FALSE
PUMP1,Wivenhoe,Pumped Hydro (Pumping),QLD,105246.192707,83876.9704295638,105246.192707,10.5588654956621,0.872982647252396,-27.3722209999999,152.632028,24,33,29,44,FALSE
PUMP2,Wivenhoe,Pumped Hydro (Pumping),QLD,105246.192707,83876.9704295638,105246.192707,10.5588654956621,0.872982647252396,-27.3722209999999,152.632028,25,34,30,44,FALSE
QPS1,Quarantine,Gas,SA,309793.354342,174815.910174159,282293.884433,46.0199913103571,0.966580737814801,-34.779284,138.522352,91,73,58,61,FALSE
QPS2,Quarantine,Gas,SA,309793.354342,174815.910174159,282293.884433,46.0199913103571,0.966580737814801,-34.779284,138.522352,91,73,59,61,FALSE
QPS3,Quarantine,Gas,SA,309793.354342,174815.910174159,282293.884433,46.0199913103571,0.966580737814801,-34.779284,138.522352,92,73,59,61,FALSE
QPS4,Quarantine,Gas,SA,309793.354342,174815.910174159,282293.884433,46.0199913103571,0.966580737814801,-34.779284,138.522352,92,74,60,62,FALSE
QPS5,Quarantine,Gas,SA,309793.354342,174815.910174159,282293.884433,46.0199913103571,0.966580737814801,-34.779284,138.522352,93,74,60,62,FALSE
REECE1,Reece,Hydro,TAS,275382.913132,250211.46431285,264590.034752,13.1771605865057,0.849791943365517,-41.7237699999999,145.135948,77,97,33,37,FALSE
REECE2,Reece,Hydro,TAS,270007.204682,250748.910937146,264590.034752,13.2795917757963,0.850464387742766,-41.7237699999999,145.135948,75,98,35,38,FALSE
ROMA_7,Roma,Gas,QLD,91891.747789,40063.3928113477,105246.192707,98.0315094293398,0.178425398416186,-26.577201,148.840199,14,2,96,7,FALSE
ROMA_8,Roma,Gas,QLD,91891.747789,40063.3928113477,105246.192707,98.0315094293398,0.178425398416186,-26.577201,148.840199,15,2,97,7,FALSE
RRSF1,Ross River Solar Farm,Solar,QLD,127289.713009,64822.454119,105246.192707,52.9327629747996,0.182332797106016,,,37,18,68,15,FALSE
RUGBYR1,Rugby Run Solar Farm,Solar,QLD,120721.05793,64816.71973,105246.192707,53.1921898648816,0.185944259020455,,,31,18,71,18,TRUE
SALTCRK1,Salt Creek Wind Farm,Wind,VIC,189810.923999,177292.467791933,185916.339906,23.8097733230906,0.757864041408399,,,63,79,44,33,FALSE
SAPHWF1,Sapphire Wind Farm,Wind,NSW,84590.537854,76185.3889443455,88703.045594,50.5056876639897,0.348670090953963,,,1,28,62,25,FALSE
SHGEN,Shoalhaven,Pumped Hydro (Release),NSW,88502.560661,87764.548908021,88703.045594,0.0653181795024663,0.999289997407037,-34.73369,150.46687,3,39,5,95,FALSE
SHPUMP,Shoalhaven,Pumped Hydro (Pumping),NSW,88502.560661,87764.548908021,88703.045594,0.0653181795024663,0.999289997407037,-34.73369,150.46687,3,40,6,95,FALSE
SITHE01,Smithfield Energy Facility,Gas,NSW,88703.045594,67451.6365737912,88703.045594,17.9746428669179,0.957118430565036,-23.50972,150.319466,8,24,39,54,FALSE
SMCSF1,Sun Metals Solar Farm,Solar,QLD,136904.025652,65079.422952,105246.192707,52.5492720711619,0.184058438864464,,,46,21,65,17,FALSE
SNOWNTH1,Snowtown North Wind Farm,Wind,SA,328119.76542,182151.943165504,282293.884433,3.55141496409763,0.977380616268888,-33.830082043,138.118411397,97,83,22,70,FALSE
SNOWSTH1,Snowtown South Wind Farm,Wind,SA,328119.76542,182151.943165504,282293.884433,3.55141496409763,0.977380616268888,-33.7138669999999,138.140367,97,83,22,70,FALSE
SNOWTWN1,Snowtown Wind Farm,Wind,SA,349330.280136,183444.486273346,282293.884433,4.29217581194085,0.977294897089678,-33.7138669999999,138.140367,100,85,24,69,FALSE
SNOWYP,Tumut 3,Pumped Hydro (Pumping),NSW,124866.933821,122972.513272318,88703.045594,11.3023395008054,0.975095401131432,,,34,49,31,66,FALSE
SNUG1,Snuggery,Liquid Fuel,SA,297143.635037,73741.1190729896,282293.884433,464.367428406668,0.795500481018394,-37.664551,140.415558,87,28,99,36,FALSE
SRSF1,Susan River Solar Farm,Solar,QLD,112838.15629,68914.29048,105246.192707,55.2330731378971,0.215248852544555,,,29,25,77,18,FALSE
STAN-1,Stanwell,Black Coal,QLD,125882.147571,57877.8853262605,105246.192707,56.6502933745787,0.172959440024648,-23.50972,150.319466,35,10,82,5,FALSE
STAN-2,Stanwell,Black Coal,QLD,125882.147571,57877.8853262605,105246.192707,56.6502933745787,0.172959440024648,-23.50972,150.319466,35,10,82,6,FALSE
STAN-3,Stanwell,Black Coal,QLD,125882.147571,57877.8853262605,105246.192707,56.6502933745787,0.172959440024648,-23.50972,150.319466,35,11,83,6,FALSE
STAN-4,Stanwell,Black Coal,QLD,125882.147571,57877.8853262605,105246.192707,56.6502933745787,0.172959440024648,-23.50972,150.319466,36,11,83,6,FALSE
STWF1,Silverton Wind Farm,Wind,NSW,346914.81139,231998.311227979,88703.045594,28.2554381891704,0.966002282169051,,,100,93,51,60,FALSE
SWAN_B_1,Swanbank,Black Coal,QLD,105246.192707,76578.4180732496,105246.192707,13.6090159730834,0.852175441464953,,,25,29,36,39,FALSE
SWAN_B_2,Swanbank,Black Coal,QLD,105246.192707,76578.4180732496,105246.192707,13.6090159730834,0.852175441464953,,,26,29,36,39,FALSE
SWAN_B_3,Swanbank,Black Coal,QLD,105246.192707,76578.4180732496,105246.192707,13.6090159730834,0.852175441464953,,,26,29,37,40,FALSE
SWAN_B_4,Swanbank,Black Coal,QLD,105246.192707,76578.4180732496,105246.192707,13.6090159730834,0.852175441464953,,,26,30,37,40,FALSE
SWAN_E,Swanbank,Gas,QLD,105246.192707,67105.450352463,105246.192707,23.488402699743,0.815723460697129,-27.6553739999999,152.817938,27,24,43,36,FALSE
TALWA1,Tallawarra,Gas,NSW,88494.772551,72387.1023117422,88703.045594,8.69729943394135,0.974568885636202,-34.522778,150.808056,3,27,28,66,FALSE
TARALGA1,Taralga Wind Farm,Wind,NSW,100532.646412,99150.4647134268,88703.045594,2.24961213389212,1.00503220017135,-34.427076,149.85764,23,46,18,98,FALSE
TARONG#1,Tarong,Black Coal,QLD,91911.218118,65795.6069365738,105246.192707,54.1184312776368,0.267644193862893,-26.7823579999999,151.915273,18,22,74,21,FALSE
TARONG#2,Tarong,Black Coal,QLD,91911.218118,65795.6069365738,105246.192707,54.1184312776368,0.267644193862893,-26.7823579999999,151.915273,18,22,74,22,FALSE
TARONG#3,Tarong,Black Coal,QLD,91911.218118,65795.6069365738,105246.192707,54.1184312776368,0.267644193862893,-26.7823579999999,151.915273,19,23,74,22,FALSE
TARONG#4,Tarong,Black Coal,QLD,91911.218118,65795.6069365738,105246.192707,54.1184312776368,0.267644193862893,-26.7823579999999,151.915273,19,23,75,22,FALSE
TARRALEA,Tarraleah,Hydro,TAS,289094.31693,265701.435599043,264590.034752,26.251250015319,0.723165360808187,-42.301208,146.457156,85,98,47,28,FALSE
TBSF1,Tailem Bend Solar Project 1,Solar,SA,314244.937042,182796.529822,282293.884433,6.35794406373517,0.958105447103643,,,93,84,26,55,TRUE
TNPS1,Tarong North,Black Coal,QLD,91911.218118,66336.4367007735,105246.192707,53.904869235453,0.268988980008369,-26.775763,151.914602,19,24,73,23,FALSE
TORRA1,Torrens Island,Gas,SA,282293.884433,146413.529357109,282293.884433,52.6169869484515,0.965681121885646,-34.806844,138.521322,80,58,65,58,FALSE
TORRA2,Torrens Island,Gas,SA,282293.884433,146413.529357109,282293.884433,52.6169869484515,0.965681121885646,-34.806844,138.521322,80,58,65,59,FALSE
TORRA3,Torrens Island,Gas,SA,282293.884433,146413.529357109,282293.884433,52.6169869484515,0.965681121885646,-34.806844,138.521322,81,59,66,59,FALSE
TORRA4,Torrens Island,Gas,SA,282293.884433,146413.529357109,282293.884433,52.6169869484515,0.965681121885646,-34.806844,138.521322,81,59,66,60,FALSE
TORRB1,Torrens Island,Gas,SA,282293.884433,149792.993237859,282293.884433,44.0084707821764,0.966834662272895,-34.805171,138.52262,81,63,57,62,FALSE
TORRB2,Torrens Island,Gas,SA,283312.682823,149792.993237859,282293.884433,44.0084707821764,0.966834662272895,-34.805171,138.52262,82,63,57,63,FALSE
TORRB3,Torrens Island,Gas,SA,282293.884433,149792.993237859,282293.884433,44.0084707821764,0.966834662272895,-34.805171,138.52262,82,64,58,63,FALSE
TORRB4,Torrens Island,Gas,SA,282293.884433,149792.993237859,282293.884433,44.0084707821764,0.966834662272895,-34.805171,138.52262,82,64,58,64,FALSE
TREVALLN,Trevallyn,Hydro,TAS,252935.473942,240359.326410078,264590.034752,13.4359595477733,0.859694916055745,-41.423142,147.11283,71,95,35,43,FALSE
TRIBUTE,Tribute,Hydro,TAS,269308.715482,250160.01487285,264590.034752,13.2008379755311,0.849946791961025,-41.8118049999999,145.653567,74,96,33,37,FALSE
TUMUT3,Tumut 3,Pumped Hydro (Release),NSW,125026.462451,123012.961022318,88703.045594,11.2419206913486,0.975160569500279,-35.611218,148.291685,34,50,31,67,FALSE
TUNGATIN,Tungatinah,Hydro,TAS,289094.31693,265701.435599043,264590.034752,26.251250015319,0.723165360808187,-42.296671,146.456543,85,99,47,29,FALSE
TVCC201,Tamar Valley,Gas,TAS,290534.723602,236558.233699021,264590.034752,11.7243308824203,0.971309314720085,-41.140125,146.903636,86,93,32,65,FALSE
TVPP104,Tamar Valley Peaking,Gas,TAS,264588.76586,219496.119923657,264590.034752,43.7586291448917,0.946916049686846,-41.140125,146.903636,74,90,56,53,FALSE
UPPTUMUT,Upper Tumut,Hydro,NSW,149810.913011,148087.362572318,88703.045594,11.4944031697195,1.03426324450021,-35.9517289999999,148.36371,48,61,32,100,FALSE
URANQ11,Uranquinty,Gas,NSW,200396.035251,168976.213719736,88703.045594,54.2129831113601,0.945082932892201,-35.1793949999999,147.215692,66,69,75,51,FALSE
URANQ12,Uranquinty,Gas,NSW,199347.045251,168976.213719736,88703.045594,54.2129831113601,0.945082932892201,-35.1793949999999,147.215692,65,69,76,52,FALSE
URANQ13,Uranquinty,Gas,NSW,201454.035301,168976.213719736,88703.045594,54.2129831113601,0.945082932892201,-35.1793949999999,147.215692,66,69,76,52,FALSE
URANQ14,Uranquinty,Gas,NSW,200396.035251,168976.213719736,88703.045594,54.2129831113601,0.945082932892201,-35.1793949999999,147.215692,66,70,76,52,FALSE
VP5,Vales Point B,Black Coal,NSW,90047.342745,80770.2312247439,88703.045594,1.27833277852858,0.992986774115801,-33.160745,151.543146,10,33,14,85,FALSE
VP6,Vales Point B,Black Coal,NSW,90047.342745,80770.2312247439,88703.045594,1.27833277852858,0.992986774115801,-33.160745,151.543146,10,33,14,86,FALSE
VPGS,Valley Power,Gas,VIC,185916.339906,137774.35399547,185916.339906,56.2818408667843,0.987963770888532,,,52,53,81,78,FALSE
VPGS1,Valley Power,Gas,VIC,187283.938836,137774.35399547,185916.339906,56.281096087421,0.987963478673319,-38.253622,146.589166,59,54,79,76,FALSE
VPGS2,Valley Power,Gas,VIC,187283.938836,137774.35399547,185916.339906,56.281096087421,0.987963478673319,-38.253622,146.589166,59,54,79,77,FALSE
VPGS3,Valley Power,Gas,VIC,187283.938836,137774.35399547,185916.339906,56.281096087421,0.987963478673319,-38.253622,146.589166,60,54,80,77,FALSE
VPGS4,Valley Power,Gas,VIC,187283.938836,137774.35399547,185916.339906,56.281096087421,0.987963478673319,-38.253622,146.589166,60,55,80,77,FALSE
VPGS5,Valley Power,Gas,VIC,187283.938836,137774.35399547,185916.339906,56.281096087421,0.987963478673319,-38.253622,146.589166,60,55,81,78,FALSE
VPGS6,Valley Power,Gas,VIC,187283.938836,137774.35399547,185916.339906,56.281096087421,0.987963478673319,-38.253622,146.589166,61,56,81,78,FALSE
W/HOE#1,Wivenhoe,Pumped Hydro (Release),QLD,105246.192707,83876.9704295638,105246.192707,10.561654896109,0.872989519549854,-27.395212,152.609153,27,34,30,45,FALSE
W/HOE#2,Wivenhoe,Pumped Hydro (Release),QLD,105246.192707,83876.9704295638,105246.192707,10.561654896109,0.872989519549854,-27.395212,152.609153,27,35,31,45,FALSE
WATERLWF,Waterloo Wind Farm,Wind,SA,338606.867148,186770.173434633,282293.884433,4.56654519332334,0.977294717549139,-34.0003576239999,138.915318892,99,86,25,69,FALSE
WEMENSF1,Wemen Solar Farm,Solar,VIC,249207.631589,203344.425449,185916.339906,25.6149349247755,0.744309573628657,,,70,90,45,30,FALSE
WGWF1,Willogoleche Wind Farm,Wind,SA,335805.316824,181950.353972504,282293.884433,3.02951686476657,0.977439036949909,,,98,82,20,72,FALSE
WHITSF1,Whitsunday Solar Farm,Solar,QLD,126257.349913,64793.757543,105246.192707,52.9782197594327,0.18226221332949,,,36,18,68,15,FALSE
WKIEWA1,West Kiewa,Hydro,VIC,129671.638923,112916.528624159,185916.339906,66.5430341054732,0.263766788611651,-41.811573,146.919038,42,48,90,20,FALSE
WKIEWA2,West Kiewa,Hydro,VIC,129671.638923,112916.528624159,185916.339906,66.5430341054732,0.263766788611651,-36.7600659999999,147.186048,43,48,91,21,FALSE
WOODLWN1,Woodlawn Wind Farm,Wind,NSW,100583.459872,99207.3397643905,88703.045594,2.23232513374891,1.00568717612314,-35.086059701,149.571605779,23,47,18,99,FALSE
WRSF1,White Rock Solar Farm,Solar,NSW,90179.088225,89493.754795,88703.045594,-0.14077581162617,0.992104277382411,,,11,44,2,83,FALSE
WRWF1,White Rock Wind Farm,Wind,NSW,90179.088225,89279.8023124541,88703.045594,-0.113714670554816,0.992026309546755,,,11,43,2,83,FALSE
YABULU,Yabulu,Gas,QLD,128063.731173,45253.7851767655,105246.192707,69.6943835164175,0.138493762883863,-19.2010559999999,146.618707,41,6,92,3,FALSE
YABULU2,Yabulu,Gas,QLD,128063.789173,45253.7131767655,105246.192707,69.6943883217031,0.138493551414066,-19.2010559999999,146.618707,41,5,93,2,FALSE
YARWUN_1,Yarwun,Gas,QLD,105246.192707,58565.7364639382,105246.192707,42.3762825444959,0.780649934313055,-23.830645,151.15193,28,11,56,35,FALSE
YENDWF1,Yendon Wind Farm,Wind,VIC,173043.917478,163979.286421732,185916.339906,2.99658053730175,0.971609298747427,,,49,68,20,65,TRUE
YWPS1,Yallourn W,Brown Coal,VIC,187153.707956,176525.642994166,185916.339906,0.700107841250476,0.998981867606736,-38.177015,146.342783,53,75,11,91,FALSE
YWPS2,Yallourn W,Brown Coal,VIC,185817.80489,176647.97811892,185916.339906,0.871574054838227,0.998911131424858,-38.177015,146.342783,50,77,12,90,FALSE
YWPS3,Yallourn W,Brown Coal,VIC,185817.80489,176647.97811892,185916.339906,0.871574054838227,0.998911131424858,-38.177015,146.342783,51,78,12,90,FALSE
YWPS4,Yallourn W,Brown Coal,VIC,185817.80489,176647.97811892,185916.339906,0.871574054838227,0.998911131424858,-38.177015,146.342783,51,78,13,90,FALSE
